,,,,,,,,,,,,
,AS OF,DELIVERED,,,88%,MusicLearningCommunity.com,D-,88%,,,,
,7/2/2022,,ACTIVE,,N= No, Live System,,,,,,
,,,,PLAYS,,(See legend at bottom of last page),P-,73%,,,,
,GAME/STAGE,,,,MASTER,GAME,,STAGE,Problems,Date,,
,,,,,,,,,,,,
,GAM-0010-1E  ,D,A,P,GAM-0010,60 Second Club 1,#NAME?,#NAME?,,,,
,GAM-0010-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0010-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0010-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0010-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0020-1E  ,D,A,P,GAM-0020,60 Second Club 1 S,#NAME?,#NAME?,,,,
,GAM-0020-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0020-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0020-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0020-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0030-1E  ,D,A,P,GAM-0030,60 Second Club 2,#NAME?,#NAME?,,,,
,GAM-0030-2E  ,D,A,P,,,#NAME?,#NAME?,Eva Ingerson mistake on note  12-8-2021,,,
,GAM-0030-3E  ,D,A,P,,,#NAME?,#NAME?,One presenttion is wrong.  A middle C-flat (key=B) ,,,
,GAM-0030-4E  ,D,A,P,,,#NAME?,#NAME?,is wrong answer.  Probably note shown is supposed ,,,
,GAM-0030-5E  ,D,A,P,,,#NAME?,#NAME?,"to be a middle D-flat, but has line through the note.",,,
,GAM-0040-1E  ,D,A,P,GAM-0040,60 Second Club 2 S,#NAME?,#NAME?,,,,
,GAM-0040-2E  ,D,A,P,,,#NAME?,#NAME?,One presenttion is wrong.  A middle C-flat (key=B) ,,,
,GAM-0040-3E  ,D,A,P,,,#NAME?,#NAME?,is wrong answer.  Probably note shown is supposed ,,,
,GAM-0040-4E  ,D,A,P,,,#NAME?,#NAME?,"to be a middle D-flat, but has line through the note.",,,
,GAM-0040-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0050-1E  ,D,A,P,GAM-0050,60 Second Club 3,#NAME?,#NAME?,,,,
,GAM-0050-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0050-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0050-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0050-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0060-1E,N,N,,GAM-0060,60 Second Club 4,#NAME?,#NAME?,,,,
,GAM-0060-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-0060-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-0060-4E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-0060-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-0070-1E  ,D,A,P,GAM-0070,Alpha Order Down,#NAME?,#NAME?,,,,
,GAM-0070-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0070-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0080-1E  ,D,A,P,GAM-0080,Alpha Order Up,#NAME?,#NAME?,,,,
,GAM-0080-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0080-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0090-1E,D,A,P,GAM-0090,Alpha Steps & Skips 1,#NAME?,#NAME?,,,,
,GAM-0090-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0090-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0090-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0100-1E,D,A,P,GAM-0100,Alpha Steps & Skips 2,#NAME?,#NAME?,,,,
,GAM-0100-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0100-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0110-1E,D,A,P,GAM-0110,Alpha Steps & Skips 3,#NAME?,#NAME?,,,,
,GAM-0110-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0110-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0110-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-0120-1E  ,D,A,P,GAM-0120,Beat the Clock - Intervals 1,#NAME?,#NAME?,,,,
,GAM-0120-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0120-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0120-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0140-1E  ,D,A,P,GAM-0140,Beat the Clock - Intervals 2,#NAME?,#NAME?,,,,
,GAM-0140-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0140-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0140-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0160-1E  ,D,A,P,GAM-0160,Beat the Clock - Pentascales 1,#NAME?,#NAME?,,,,
,GAM-0160-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0160-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0160-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0170-1E  ,D,A,P,GAM-0170,Beat the Clock - Pentascales 2,#NAME?,#NAME?,,,,
,GAM-0170-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0170-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0170-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0180-1E  ,D,A,P,GAM-0180,Beat the Clock - Triads 1,#NAME?,#NAME?,,,,
,GAM-0180-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0180-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0180-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0200-1E  ,D,A,P,GAM-0200,Beat the Clock - Triads 2,#NAME?,#NAME?,,,,
,GAM-0200-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0200-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0200-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0220-1E  ,D,A,P,GAM-0220,Beat the Clock - Triads 3,#NAME?,#NAME?,,,,
,GAM-0220-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0220-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0220-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0240-1E  ,D,A,P,GAM-0240,Beat the Clock - Triads 4,#NAME?,#NAME?,,,,
,GAM-0240-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0240-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0260-1E  ,D,A,P,GAM-0260,Beat the Clock - Triads 5,#NAME?,#NAME?,,,,
,GAM-0260-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0260-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0270-1E  ,D,A,P,GAM-0270,Bumble Keys 1,#NAME?,#NAME?,,,,
,GAM-0270-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0270-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0270-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0270-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0280-1E  ,D,A,P,GAM-0280,Bumble Keys 1 S,#NAME?,#NAME?,,,,
,GAM-0280-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0280-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0280-4E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0280-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0300-1E  ,D,A,P,GAM-0300,Bumble Keys 2,#NAME?,#NAME?,,,,
,GAM-0300-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-0300-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
