,,,,
,,,GAME,ALPHA LIST '!$B$6:$E$408
,,,,
,,,,GAME
,,,,
,,GAME #,Name,Concept
,0010,GAM-0010,60 Second Club 1,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.
,0020,GAM-0020,0,0
,0030,GAM-0030,60 Second Club 2,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed
,0040,GAM-0040,0,0
,0050,GAM-0050,60 Second Club 3,Rapidly read & play all grand staff notes--white and black--on the onscreen keyboard-timed
,0060,GAM-0060,60 Second Club 4,Rapidly read & play all grand staff notes-with key signatures--on the onscreen keyboard-timed
,0070,GAM-0070,Alpha Order Down,Name missing letters in the descending music alphabet
,0080,GAM-0080,Alpha Order Up,Name missing letters in the ascending music alphabet
,0090,GAM-0090,Alpha Steps & Skips 1,Name the letters of the musical alphabet that make steps up & down
,0100,GAM-0100,Alpha Steps & Skips 2,Name the letters of the musical alphabet that make skips up & down
,0110,GAM-0110,Alpha Steps & Skips 3,Name the letters of the musical alphabet that make steps and skips up & down
,0120,GAM-0120,Beat the Clock - Intervals 1,"Given the first note, play half steps up & down on the onscreen keyboard"
,0130,GAM-0130,MIDI Beat the Clock - Intervals 1,"Given the first note, play half steps up & down on the MIDI keyboard"
,0140,GAM-0140,Beat the Clock - Intervals 2,"Given the first note, play half steps and whole steps on the onscreen keyboard"
,0150,GAM-0150,MIDI Beat the Clock - Intervals 2,"Given the first note, play half steps & whole steps on the MIDI keyboard"
,0160,GAM-0160,MIDI Beat the Clock - Pentascales 1,"Play C, G, D and A Major pentascales on the MIDI keyboard"
,0170,GAM-0170,MIDI Beat the Clock - Pentascales 2,"Play C, G, D, A, F and E  Major pentascales on the MIDI keyboard"
,0180,GAM-0180,Beat the Clock - Triads 1,"Play triads on the onscreen keyboard: C, G and F Major"
,0190,GAM-0190,MIDI Beat The Clock - Triads 1,"Play C, G and F Major triads on the MIDI keyboard"
,0200,GAM-0200,Beat the Clock - Triads 2,"Play triads on the onscreen keyboard: D, E and A Major"
,0210,GAM-0210,MIDI Beat The Clock - Triads 2,"Play D, E and A Major triads on the MIDI keyboard"
,0220,GAM-0220,Beat the Clock - Triads 3,"Play triads on the onscreen keyboard: c, g and f minor"
,0230,GAM-0230,MIDI Beat The Clock - Triads 3,"Play c, g and f minor triads on the MIDI keyboard"
