,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence Table,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LIFE,,,,,,Lifetime Musician Sequence Definition Table,,,,,,,,,,,,,,,,,,LIFE,,,,Lifetime Musician ,,,,,,,,,,To be reveiwed,,,,,,,,ALPHA LIST '!$B$6:$E$408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Placeholder,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE,,,Lifetime Musician Sequence Definition Table,,,,,,,,,,,,,,,,,,,,,Seq Order Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,Group,,,,,,,,Elements Numbers,,,,,,,Type,,,Stage,,,Name,,,,,,,,,,Description,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 1,,,,,,,,A,,,,0110,,,VID-INS-2005,,,,,,,VID,,,INS,,,How to Use Sequence,,,,,,,,,,How to navigate sequence assignment,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0114,,,3480-1,,,,,,,GAM,,,LERN,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0118,,,3480-2,,,,,,,GAM,,,PLAY,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0122,,,3480-3,,,,,,,GAM,,,QUIZ,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0126,,,3720-1,,,,,,,GAM,,,LERN,,,Storm Chasers 1,,,,,,,,,,Aurally identify Up and Down,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0130,,,3720-2,,,,,,,GAM,,,PLAY,,,Storm Chasers 1,,,,,,,,,,Aurally identify Up and Down,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0134,,,3720-3,,,,,,,GAM,,,QUIZ,,,Storm Chasers 1,,,,,,,,,,Aurally identify Up and Down,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0138,,,3370-1,,,,,,,GAM,,,LERN,,,Smiley and Friends 1,,,,,,,,,,Hear Tunes -- Same or different,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0142,,,3370-2,,,,,,,GAM,,,PLAY,,,Smiley and Friends 1,,,,,,,,,,Hear Tunes -- Same or different,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0146,,,3370-3,,,,,,,GAM,,,QUIZ,,,Smiley and Friends 1,,,,,,,,,,Hear Tunes -- Same or different,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0150,,,0750-1,,,,,,,GAM,,,LERN,,,Faster-Slower-Same 1,,,,,,,,,,Does the music become faster or slower? ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0154,,,0750-2,,,,,,,GAM,,,PLAY,,,Faster-Slower-Same 1,,,,,,,,,,Does the music become faster or slower? ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0158,,,0750-3,,,,,,,GAM,,,QUIZ,,,Faster-Slower-Same 1,,,,,,,,,,Does the music become faster or slower? ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0162,,,3850-1,,,,,,,GAM,,,LERN,,,Tommy Tiger's 2's & 3's,,,,,,,,,,Identify the groups of 2 and 3 black keys on the keyboard,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0166,,,3850-2,,,,,,,GAM,,,PLAY,,,Tommy Tiger's 2's & 3's,,,,,,,,,,Identify the groups of 2 and 3 black keys on the keyboard,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0170,,,3850-3,,,,,,,GAM,,,QUIZ,,,Tommy Tiger's 2's & 3's,,,,,,,,,,Identify the groups of 2 and 3 black keys on the keyboard,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 2,,,,,,,,A,,,,0174,,,1100-1,,,,,,,GAM,,,LERN,,,Hand Prints,,,,,,,,,,Identify Left and Right hand,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0178,,,1100-2,,,,,,,GAM,,,PLAY,,,Hand Prints,,,,,,,,,,Identify Left and Right hand,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0182,,,1100-3,,,,,,,GAM,,,QUIZ,,,Hand Prints,,,,,,,,,,Identify Left and Right hand,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0186,,,1770-1,,,,,,,GAM,,,LERN,,,Low Middle High ,,,,,,,,,,"Identify keys that are low, middle and high on the keyboard",,,
,,,,,,,,,,,,,,,,,,,,,,,,,0190,,,1770-2,,,,,,,GAM,,,PLAY,,,Low Middle High ,,,,,,,,,,"Identify keys that are low, middle and high on the keyboard",,,
,,,,,,,,,,,,,,,,,,,,,,,,,0194,,,1770-3,,,,,,,GAM,,,QUIZ,,,Low Middle High ,,,,,,,,,,"Identify keys that are low, middle and high on the keyboard",,,
,,,,,,,,,,,,,,,,,,,,,,,,,0198,,,0780-1,,,,,,,GAM,,,LERN,,,Finger Finder,,,,,,,,,,Finger Numbers for the Right and Left hands ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0202,,,0780-2,,,,,,,GAM,,,PLAY,,,Finger Finder,,,,,,,,,,Finger Numbers for the Right and Left hands ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0206,,,0780-3,,,,,,,GAM,,,QUIZ,,,Finger Finder,,,,,,,,,,Finger Numbers for the Right and Left hands ,,,
