,,,,,,,,,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual,,,,,,,,
,Base,Base,Per Each *,Base,Per Each ^,,Per Seat,,,,,,,,
,Seats,Cost, Added Seat,Cost, Added Seat,,Cost,,,,,,,,
,,,,,,,,,,,,,,,
,,PRELUDE,,,,,,,NOTES on Seat Additions:,,,,,,
,19,FREE for two weeks,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,SOLO PLAN,,,,,,,* ^ Added singly for Solo to 19 max,,,,,,
,5,$7.95,$0.80,$95.40,$9.60,,$19.08,,       and groups of 5 for Ensemble without limit,,,,STRIPE,,
,,,,,,,,,,,,,,,
,,ENSEMBLE PLAN,,,,,,,,,Increment,Per Step,Fixed,Per Step,Fixed
,20,$19.95,$0.20,$239.40,$2.40,,$11.97,,* Monthly - can add or subtract,,20,$0.20,$15.95,$2.40,$191.40
100,120,$39.95,$0.18,$479.40,$2.16,,$4.00,,"  seats, or pause, during any month",,100,$0.18,$2.00,$2.16,$24.00
120,240,$61.55,$0.16,$738.60,$1.92,,$3.08,,   Charge prorated within month.,,120,$0.16,$2.40,$1.92,$28.80
260,500,$103.15,$0.12,"$1,237.80",$1.44,,$2.48,,,,260,$0.12,$10.40,$1.44,$124.80
500,1000,$163.15,$0.10,"$1,957.80",$1.20,,$1.96,,"^ Annual - Can add seats, ",,500,$0.10,$10.00,$1.20,$120.00
1500,2500,$313.15,$0.08,"$3,757.80",$0.96,,$1.50,,    but no reduction,,1500,$0.08,$30.00,$0.96,$360.00
1700,4200,$449.15,$0.06,"$5,389.80",$0.72,,$1.28,,,,1700,$0.06,$34.00,$0.72,$408.00
1800,6000,$557.15,$0.05,"$6,685.80",$0.60,,$1.11,,    Charge prorated to end of year.,,1800,$0.05,$18.00,$0.60,$216.00
,,,,,,,,,,,,,,,
,CALCULATOR:,,,,,,,,,,75000,$0.05,,$0.60,
,▼,MONTHLY:,,ANNUAL:,,,Check Figures,,⬇︎,,,MONTHLY,,ANNUAL,
,SEATS,PRICE,Per Seat,PRICE,Per Seat,,$39.95,,⬇︎,,,,,,
►   ,200,$54.35,0.18,$652.20,2.16,,120,,⬇︎,,,,,,
,CALCULATOR:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Monthly,Annual,,Diff,,,,,,,,
,Students,Monthly,Annual,Cost/Student,Cost/Student,,,,,,,,,,
,,,,,,,,,,,,,,,
,5,$7.95 ,$95.40 ,1.590,$19.08 ,,,,,,,,,,
,6,$8.75 ,$105.00 ,1.458,$17.50 ,,1.580,,,,,,,,
,7,$9.55 ,$114.60 ,1.364,$16.37 ,,1.129,,,,,,,,
,8,$10.35 ,$124.20 ,1.294,$15.53 ,,0.846,,,,,,,,
,9,$11.15 ,$133.80 ,1.239,$14.87 ,,0.658,,,,,,,,
,10,$11.95 ,$143.40 ,1.195,$14.34 ,,0.527,,,,,,,,
,11,$12.75 ,$153.00 ,1.159,$13.91 ,,0.431,,,,,,,,
,12,$13.55 ,$162.60 ,1.129,$13.55 ,,0.359,,,,,,,,
,13,$14.35 ,$172.20 ,1.104,$13.25 ,,0.304,,,,,,,,
,14,$15.15 ,$181.80 ,1.082,$12.99 ,,0.260,,,,,,,,
,15,$15.95 ,$191.40 ,1.063,$12.76 ,,0.226,,,,,,,,
,16,$16.75 ,$201.00 ,1.047,$12.56 ,,0.197,,,,,,,,
,17,$17.55 ,$210.60 ,1.032,$12.39 ,,0.174,,,,,,,,
,18,$18.35 ,$220.20 ,1.019,$12.23 ,,0.155,,,,,,,,
,19,$19.15 ,$229.80 ,1.008,$12.09 ,,0.139,,,,,,,,
,20,$19.95 ,$239.40 ,0.998,$11.97 ,,0.125,,,,,,,,
,20,$19.95 ,$239.40 ,0.998,$11.97 ,,0.000,,,,,,,,
,25,$20.95 ,$251.40 ,0.838,$10.06 ,,1.914,,,,,,,,
,30,$21.95 ,$263.40 ,0.732,$8.78 ,,1.276,,,,,,,,
,35,$22.95 ,$275.40 ,0.656,$7.87 ,,0.911,,,,,,,,
,40,$23.95 ,$287.40 ,0.599,$7.19 ,,0.684,,,,,,,,
,45,$24.95 ,$299.40 ,0.554,$6.65 ,,0.532,,,,,,,,
,50,$25.95 ,$311.40 ,0.519,$6.23 ,,0.425,,,,,,,,
,55,$26.95 ,$323.40 ,0.490,$5.88 ,,0.348,,,,,,,,
,60,$27.95 ,$335.40 ,0.466,$5.59 ,,0.290,,,,,,,,
,65,$28.95 ,$347.40 ,0.445,$5.34 ,,0.245,,,,,,,,
,70,$29.95 ,$359.40 ,0.428,$5.13 ,,0.210,,,,,,,,
,75,$30.95 ,$371.40 ,0.413,$4.95 ,,0.182,,,,,,,,
,80,$31.95 ,$383.40 ,0.399,$4.79 ,,0.160,,,,,,,,
,85,$32.95 ,$395.40 ,0.388,$4.65 ,,0.141,,,,,,,,
,90,$33.95 ,$407.40 ,0.377,$4.53 ,,0.125,,,,,,,,
,95,$34.95 ,$419.40 ,0.368,$4.41 ,,0.112,,,,,,,,
,100,$35.95 ,$431.40 ,0.360,$4.31 ,,0.101,,,,,,,,
,105,$36.95 ,$443.40 ,0.352,$4.22 ,,0.091,,,,,,,,
,110,$37.95 ,$455.40 ,0.345,$4.14 ,,0.083,,,,,,,,
,115,$38.95 ,$467.40 ,0.339,$4.06 ,,0.076,,,,,,,,
,120,$39.95 ,$479.40 ,0.333,$4.00 ,,0.069,,,,,,,,
,125,$40.85 ,$490.20 ,0.327,$3.92 ,,0.073,,,,,,,,
,130,$41.75 ,$501.00 ,0.321,$3.85 ,,0.068,,,,,,,,
,135,$42.65 ,$511.80 ,0.316,$3.79 ,,0.063,,,,,,,,
,140,$43.55 ,$522.60 ,0.311,$3.73 ,,0.058,,,,,,,,
,145,$44.45 ,$533.40 ,0.307,$3.68 ,,0.054,,,,,,,,
