,,,,,,,
,,,,,,,
,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual
,Base,Base,Per Each *,Base,Per Each ^,,Per Seat
,Seats,Cost, Added Seat,Cost, Added Seat,,Cost
,,,,,,,
,,PRELUDE,,,,,
,19,FREE for two weeks,,,,,
,,,,,,,
,,SOLO PLAN,,,,,
,5,$7.95,$0.80,$95.40,$9.60,,$19.08
,,,,,,,
,,ENSEMBLE PLAN,,,,,
,20,$19.95,$0.20,$239.40,$2.40,,$11.97
,120,$39.95,$0.18,$479.40,$2.16,,$4.00
,240,$61.55,$0.16,$738.60,$1.92,,$3.08
,500,$103.15,$0.12,"$1,237.80",$1.44,,$2.48
,1000,$163.15,$0.10,"$1,957.80",$1.20,,$1.96
,2500,$313.15,$0.08,"$3,757.80",$0.96,,$1.50
,4200,$449.15,$0.06,"$5,389.80",$0.72,,$1.28
,6000,$557.15,$0.05,"$6,685.80",$0.60,,$1.11
