,,,,,,,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual,,,Increment,Per Step,Fixed,
,Base,Base,Per Each *,Base,Per Each ^,,Per Seat,,,20,$0.20,$15.95,
,Seats,Cost, Added Seat,Cost, Added Seat,,Cost,,,100,$0.18,$2.00,
,,,,,,,,,,120,$0.16,$2.40,
,,PRELUDE,,,,,,,,260,$0.12,$10.40,
,19,FREE for two weeks,,,,,,,,500,$0.10,$10.00,
,,,,,,,,,,1500,$0.08,$30.00,
,,SOLO PLAN,,,,,,,,1700,$0.06,$34.00,
,5,$7.95,$0.80,$95.40,$9.60,,$19.08,,,1800,$0.05,$18.00,
,,,,,,,,,,,,,
,,ENSEMBLE PLAN,,,,,,,,,,,
,20,$19.95,$0.20,$239.40,$2.40,,$11.97,,,Seats,Per Each,$15.95,
100,120,$39.95,$0.18,$479.40,$2.16,,$4.00,,,120,0.20,$24.00,$39.95
120,240,$61.55,$0.16,$738.60,$1.92,,$3.08,,,120,0.18,$21.60,$45.60
260,500,$103.15,$0.12,"$1,237.80",$1.44,,$2.48,,,260,0.16,$41.60,$63.20
500,1000,$163.15,$0.10,"$1,957.80",$1.20,,$1.96,,,500,0.12,$60.00,$101.60
1500,2500,$313.15,$0.08,"$3,757.80",$0.96,,$1.50,,,1500,0.10,$150.00,$210.00
1700,4200,$449.15,$0.06,"$5,389.80",$0.72,,$1.28,,,1700,0.08,$136.00,$286.00
1800,6000,$557.15,$0.05,"$6,685.80",$0.60,,$1.11,,,1800,0.06,$108.00,$244.00
,,,,,,,,,,1,0.05,,$108.00
,CALCULATOR:,,,,,,,,,,,,
,▼,MONTHLY:,,ANNUAL:,,,Check Figures,,,,,,
,SEATS,PRICE,Per Seat,PRICE,Per Seat,,$19.95,,,,,,
►   ,50,$25.95,0.20,$311.40,2.40,,20,,,,,,
,CALCULATOR:,,,,,,,,,,,,
