,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual
,Base,Base,Per Each *,Base,Per Each ^,,Per Seat
,Seats,Cost, Added Seat,Cost, Added Seat,,Cost
,,,,,,,
,,PRELUDE,,,,,
,19,FREE for two weeks,,,,,
,,,,,,,
,,SOLO PLAN,,,,,
,5,$7.95,$0.80,$95.40,$9.60,,$19.08
,,,,,,,
,,ENSEMBLE PLAN,,,,,
,20,$19.95,$0.20,$239.40,$2.40,,$11.97
100,120,$39.95,$0.18,$479.40,$2.16,,$4.00
120,240,$61.55,$0.16,$738.60,$1.92,,$3.08
260,500,$103.15,$0.12,"$1,237.80",$1.44,,$2.48
500,1000,$163.15,$0.10,"$1,957.80",$1.20,,$1.96
1500,2500,$313.15,$0.08,"$3,757.80",$0.96,,$1.50
1700,4200,$449.15,$0.06,"$5,389.80",$0.72,,$1.28
1800,6000,$557.15,$0.05,"$6,685.80",$0.60,,$1.11
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Monthly,Annual,,Diff
,Students,Monthly,Annual,Cost/Student,Cost/Student,,
,,,,,,,
,5,$7.95 ,$95.40 ,1.590,$19.08 ,,
,6,$8.75 ,$105.00 ,1.458,$17.50 ,,1.580
,7,$9.55 ,$114.60 ,1.364,$16.37 ,,1.129
,8,$10.35 ,$124.20 ,1.294,$15.53 ,,0.846
,9,$11.15 ,$133.80 ,1.239,$14.87 ,,0.658
,10,$11.95 ,$143.40 ,1.195,$14.34 ,,0.527
,11,$12.75 ,$153.00 ,1.159,$13.91 ,,0.431
,12,$13.55 ,$162.60 ,1.129,$13.55 ,,0.359
,13,$14.35 ,$172.20 ,1.104,$13.25 ,,0.304
,14,$15.15 ,$181.80 ,1.082,$12.99 ,,0.260
,15,$15.95 ,$191.40 ,1.063,$12.76 ,,0.226
,16,$16.75 ,$201.00 ,1.047,$12.56 ,,0.197
,17,$17.55 ,$210.60 ,1.032,$12.39 ,,0.174
,18,$18.35 ,$220.20 ,1.019,$12.23 ,,0.155
,19,$19.15 ,$229.80 ,1.008,$12.09 ,,0.139
,20,$19.95 ,$239.40 ,0.998,$11.97 ,,0.125
,20,$19.95 ,$239.40 ,0.998,$11.97 ,,0.000
,25,$20.95 ,$251.40 ,0.838,$10.06 ,,1.914
,30,$21.95 ,$263.40 ,0.732,$8.78 ,,1.276
,35,$22.95 ,$275.40 ,0.656,$7.87 ,,0.911
,40,$23.95 ,$287.40 ,0.599,$7.19 ,,0.684
,45,$24.95 ,$299.40 ,0.554,$6.65 ,,0.532
,50,$25.95 ,$311.40 ,0.519,$6.23 ,,0.425
,55,$26.95 ,$323.40 ,0.490,$5.88 ,,0.348
,60,$27.95 ,$335.40 ,0.466,$5.59 ,,0.290
,65,$28.95 ,$347.40 ,0.445,$5.34 ,,0.245
,70,$29.95 ,$359.40 ,0.428,$5.13 ,,0.210
,75,$30.95 ,$371.40 ,0.413,$4.95 ,,0.182
,80,$31.95 ,$383.40 ,0.399,$4.79 ,,0.160
,85,$32.95 ,$395.40 ,0.388,$4.65 ,,0.141
,90,$33.95 ,$407.40 ,0.377,$4.53 ,,0.125
,95,$34.95 ,$419.40 ,0.368,$4.41 ,,0.112
,100,$35.95 ,$431.40 ,0.360,$4.31 ,,0.101
,105,$36.95 ,$443.40 ,0.352,$4.22 ,,0.091
,110,$37.95 ,$455.40 ,0.345,$4.14 ,,0.083
,115,$38.95 ,$467.40 ,0.339,$4.06 ,,0.076
,120,$39.95 ,$479.40 ,0.333,$4.00 ,,0.069
,125,$40.85 ,$490.20 ,0.327,$3.92 ,,0.073
,130,$41.75 ,$501.00 ,0.321,$3.85 ,,0.068
,135,$42.65 ,$511.80 ,0.316,$3.79 ,,0.063
,140,$43.55 ,$522.60 ,0.311,$3.73 ,,0.058
,145,$44.45 ,$533.40 ,0.307,$3.68 ,,0.054
,150,$45.35 ,$544.20 ,0.302,$3.63 ,,0.051
,155,$46.25 ,$555.00 ,0.298,$3.58 ,,0.047
,160,$47.15 ,$565.80 ,0.295,$3.54 ,,0.044
,165,$48.05 ,$576.60 ,0.291,$3.49 ,,0.042
,170,$48.95 ,$587.40 ,0.288,$3.46 ,,0.039
,175,$49.85 ,$598.20 ,0.285,$3.42 ,,0.037
,180,$50.75 ,$609.00 ,0.282,$3.38 ,,0.035
,185,$51.65 ,$619.80 ,0.279,$3.35 ,,0.033
,190,$52.55 ,$630.60 ,0.277,$3.32 ,,0.031
,195,$53.45 ,$641.40 ,0.274,$3.29 ,,0.030
,200,$54.35 ,$652.20 ,0.272,$3.26 ,,0.028
,205,$55.25 ,$663.00 ,0.270,$3.23 ,,0.027
,210,$56.15 ,$673.80 ,0.267,$3.21 ,,0.026
,215,$57.05 ,$684.60 ,0.265,$3.18 ,,0.024
,220,$57.95 ,$695.40 ,0.263,$3.16 ,,0.023
,225,$58.85 ,$706.20 ,0.262,$3.14 ,,0.022
,230,$59.75 ,$717.00 ,0.260,$3.12 ,,0.021
,235,$60.65 ,$727.80 ,0.258,$3.10 ,,0.020
,240,$61.55 ,$738.60 ,0.256,$3.08 ,,0.040
,245,$62.35 ,$748.20 ,0.254,$3.05 ,,0.043
,250,$63.15 ,$757.80 ,0.253,$3.03 ,,0.046
,255,$63.95 ,$767.40 ,0.251,$3.01 ,,0.044
,260,$64.75 ,$777.00 ,0.249,$2.99 ,,0.043
,265,$65.55 ,$786.60 ,0.247,$2.97 ,,0.041
,270,$66.35 ,$796.20 ,0.246,$2.95 ,,0.040
,275,$67.15 ,$805.80 ,0.244,$2.93 ,,0.038
,280,$67.95 ,$815.40 ,0.243,$2.91 ,,0.037
,285,$68.75 ,$825.00 ,0.241,$2.89 ,,0.035
,290,$69.55 ,$834.60 ,0.240,$2.88 ,,0.034
,295,$70.35 ,$844.20 ,0.238,$2.86 ,,0.033
,300,$71.15 ,$853.80 ,0.237,$2.85 ,,0.032
