,,,,,,,,,,,,,,,,,261,,,Report-Game Alpha Master Listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reports to view Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha Master Listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Lifetime,,,,,,,,,,,," M-MIDI, S-Solfege, X-Both",,,,,,,,,Target Scores,,,,,,,,,,,,,,,
,Game Name,,,,,,,,,,Levels,,,Levels,,,Category,,,,Skills/Concepts,,,,,,,,,,,,,,LERN,,PLAY,,QUIZ,,CHAL,,REV,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60 Second Club 1,,,,,,,,,,2,3,,"2.18,20
 - 3.1",,,Pitch-V,,,,Rapidly read & play grand staff white notes on the on-screen keyboard-timed,,,,,,,,,,,,,M,3000,,3000,,3000,,3400,,3000,,,,,,,
,60 Second Club 2,,,,,,,,,,2,3,,"3.4,6",,,Pitch-V,,,,Rapidly read & play grand staff # and b notes on the on-screen keyboard-timed,,,,,,,,,,,,,M,3000,,3000,,3000,,3400,,,,,,,,,
,60 Second Club 3,,,,,,,,,,3,4,,"3.9,16
 - 4.7,14",,,Pitch-V,,,,Rapidly read & play all grand staff notes--white and black--on the onscreen keyboard-timed,,,,,,,,,,,,,M,1000,,1500,,2000,,3400,,,,,,,,,
,60 Second Club 4,,,,,,,,,,5,,,"4.18,19 
- 5.4,9",,,Pitch-V,,,,Rapidly read & play all grand staff notes-with key signatures--on the onscreen keyboard-timed,,,,,,,,,,,,,M,1000,,1500,,2000,,9000,,,,,,,,,
,Alpha Order Down,,,,,,,,,,0,,,P.4,,,Symbols,,,,Name missing letters in the descending music alphabet,,,,,,,,,,,,,,850,,1050,,1100,,,,,,,,,,,
,Alpha Order Up,,,,,,,,,,0,,,P.4,,,Symbols,,,,Name missing letters in the ascending music alphabet,,,,,,,,,,,,,,850,,1050,,1350,,,,,,,,,,,
,Alpha Steps & Skips 1,,,,,,,,,,0,,,"P.9,13",,,Intervals-V,,,,Name the letters of the musical alphabet that make steps up & down,,,,,,,,,,,,,,1050,,1350,,1650,,,,,,,,,,,
,Alpha Steps & Skips 2,,,,,,,,,,0,,,P.14,,,Intervals-V,,,,Name the letters of the musical alphabet that make skips up & down,,,,,,,,,,,,,,1050,,1350,,1650,,,,,,,,,,,
,Alpha Steps & Skips 3,,,,,,,,,,0,,,P.17 - 1.1,,,Intervals-V,,,,Name the letters of the musical alphabet that make steps and skips up & down,,,,,,,,,,,,,,1050,,1350,,1650,,,,,,,,,,,
,Beat the Clock - Intervals 1,,,,,,,,,,2,3,,"1.14,18 - 2.11,14",,,Intervals-V,,,,"Given the first note, play half steps up & down on the onscreen keyboard",,,,,,,,,,,,,M,260,,360,,470,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,473,,,Sequence Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reports to view Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sequence Report,,,,,,,,LIFE,,Lifetime Musician Curriculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level Title,,,,,,,,,Type,,,Name,,,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Level 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit Title,,,,,,,,,VID,,,Instructional Video,,,,,,,,,,Introduce Lifetime Musician,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assignment 1,,,,,,,,,LERN,,,Songbirds High and Low,,,,,,,,,,Rapidly read & play grand staff white notes on the on-screen keyboard - timed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,PLAY,,,Songbirds High and Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,QUIZ,,,Songbirds High and Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
