,,,,,STATEMENT OF WORK,,,,,,,,,
,,,,,,,,,,,,,,
1,,800,Game Translation to HTML5 Test set,,,,,,,,,,,
2,,801,Game MIDI Solution Test,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,700,Create Member Database,,,,,,,,,,,
5,,701,Create Member Group Database,,,,,,,,,,,
6,,100,Screen-MEMBER DASHBOARD,,,,,,,,,,,
7,,110,Screen-Manage Member Credentials,,,,,,,,,,,
8,,120,Screen-Member Information Update,,,,,,,,,,,
9,,130,Screen-Manage Teachers and Student Users,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,200,Screen-TEACHER RESOURCE CENTER (DASHBOARD),,,,,,,,,,,
12,,210,Screen-Manage Teacher Credentials,,,,,,,,,,,
13,,220,Screen-Student Management Screen,,,,,,,,,,,
14,,702,Create Function-Member Information Update,,,,,,,,,,,
15,,703,Create Function-Member Data Lookup,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,300,Screen-STUDENT RESOURCE CENTER (DASHBOARD),,,,,,,,,,,
18,,310,Screen-Manage Student Password,,,,,,,,,,,
19,,405,Screen-Member Data Screen,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,400,Screen-SITE ADMINISTRATOR DASHBOARD,,,,,,,,,,,
22,,4-110,Screen-Manage Member Credentials,,,,,,,,,,,
23,,4-120,Screen-Member Information Update,,,,,,,,,,,
24,,4-130,Screen-Manage Teachers and Student Users,,,,,,,,,,,Member Maintenance
25,,723,Create Automatic Trials System,,,,,,,,,,,
26,,561,Trials Report,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,707,Create Permissions Hierarchy,,,,,,,,,,,
29,,714,Create Score Reporting System,,,,,,,,,,,
30,,250,Screen-Score Reporting (Single Teacher),,,,,,,,,,,
31,,150,Screen-Score Reporting (Multiople Teachers),,,,,,,,,,,
32,,4-150,Screen-Score Reporting (Multiople Teachers),,,,,,,,,,,
33,,350,Screen-Score Reporting (Single Student),,,,,,,,,,,
34,,520,Users Permissions Table,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,704,Create Function-Braintree Configuration,,,,,,,,,,,
37,,705,Create Function- Braintree Interface,,,,,,,,,,,
38,,706,Create Subscription Functionality,,,,,,,,,,,
39,,430,Subscription Maintenance  (Link to Braintree),,,,,,,,,,,
40,,710,Create Affiliate Input Form,,,,,,,,,,,
41,,510,Membership Subscription Plans,,,,,,,,,,,
42,,724,Create Auto PO and Invoicing,,,,,,,,,,,
43,,711,Create Learning Element Database,,,,,,,,,,,
44,,712,Create Game Database,,,,,,,,,,,
45,,713,Create Sequence Creation System,,,,,,,,,,,
46,,4-230,Screen-Student Management Screen,,,,,,,,,,,
47,,460,Learning Element Maintenance,,,,,,,,,,,
48,,461,View/Update Non-Game Element,,,,,,,,,,,
49,,530,Learning Element and Sequence Coding,,,,,,,,,,,
50,,535,Learning Element Table,,,,,,,,,,,
51,,,,,,,,,,,,,,
