,,,,,,,,,,,,,,530 Learning Element and Sequence Coding,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game Level Table,,,,,,,Game Stage Table,,,,,,,,,,,Learning Element Table,,,,,,,,,Game Concepts,,,,,,,,,,,
,Code,,Level Name,,,,,Code,,,Stage Name,,,,,Suffix,,,Code,,,Name,,,,,,Code,,,Concept Name,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,,Primary 1a,,,,,LERN,,,Learn,,,,,1,,,GAM,,,Game,,,,,,CHORD,,,Chords & Harmony,,,,,,,,
,1,,Level 1,,,,,PLAY,,,Play,,,,,2,,,SOL,,,Solfege,,,,,,INTVL,,,Intervals,,,,,,,,
,2,,Level 2,,,,,QUIZ,,,Quiz,,,,,3,,,VID,,,Video,,,,,,KEYBD,,,Keyboard Elements,,,,,,,,
,3,,Level 3,,,,,CHAL,,,Challenge,,,,,4,,,AUD,,,Audio,,,,,,MEMOP,,,Tonal Memory & Playback,,,,,,,,
,4,,Level 4,,,,,REV1,,,Review 1,,,,,5,,,TXT,,,Text,,,,,,PITCH,,,Pitch & Melody,,,,,,,,
,5,,Level 5,,,,,REV2,,,Review 2,,,,,6,,,RWD,,,Reward,,,,,,RHYTM,,,Rhythm & Meter,,,,,,,,
,6,,Level 6,,,,,REV3,,,Review 3,,,,,7,,,,,,,,,,,,SCALE,,,Scale & Key Signatures,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYMBL,,,MusicTerms & Symbols,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language Table,,,,,,,,Video & Audio Specification,,,,,,,,,,Reward Specifications,,,,,,,,,,,,,,,,,,,,
,Code,,Language,,,,,,Code,,AV Type,,,,,,,,Code,,Reward Type,,,,,,,Text Specifications,,,,,,,,Code,,,Concept Type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,,Text Type,,,,,,,,,
,E,,English,,,,,,TUT,,Site Tutorial,,,,,,,,STK,,Sticker,,,,,,,,,,,,,,,,A,,Aural
,F,,French,,,,,,INS,,Instructional,,,,,,,,BDG,,Badge,,,,,,,LAB,,Label,,,,,,,V,,Visual
