,,,,,,,,,To be reveiwed,
,,,,,,,,,Placeholder,ALPHA LIST '!$B$6:$E$408
,LIFE,Lifetime Musician Curriculum,,,LIFE,,,,MIDI,
,,,,,Seq Order Number,,,,,
,Sequence,,,,,Elements #,,,,
,Code,Level Title,Unit Title,Group,,Type,,Stage,Name,Description
,LIFE,Introduction,How to Use Assignments,004A,00050,VID-,2005-2,INS,How to Use Sequence,How to navigate sequence assignment
,LIFE,Primary Level 1A,Assignment 1,005A,00100,GAM-,3480-1,LEARN,Songbirds High and Low,Identify high sounds and low sounds
,,,,,00150,GAM-,3480-2,PLAY,Songbirds High and Low,Identify high sounds and low sounds
,,,,,00200,GAM-,3480-3,QUIZ,Songbirds High and Low,Identify high sounds and low sounds
,,,,,00250,GAM-,3720-1,LEARN,Storm Chasers 1,Aurally identify Up and Down
,,,,,00300,GAM-,3720-2,PLAY,Storm Chasers 1,Aurally identify Up and Down
,,,,,00350,GAM-,3720-3,QUIZ,Storm Chasers 1,Aurally identify Up and Down
,,,,,00400,GAM-,3370-1,LEARN,Smiley and Friends 1,Hear Tunes -- Same or different
,,,,,00450,GAM-,3370-2,PLAY,Smiley and Friends 1,Hear Tunes -- Same or different
,,,,,00500,GAM-,3370-3,QUIZ,Smiley and Friends 1,Hear Tunes -- Same or different
,,,,,00550,GAM-,0750-1,LEARN,Faster-Slower-Same 1,Does the music become faster or slower? 
,,,,,00600,GAM-,0750-2,PLAY,Faster-Slower-Same 1,Does the music become faster or slower? 
,,,,,00650,GAM-,0750-3,QUIZ,Faster-Slower-Same 1,Does the music become faster or slower? 
,,,,,00700,GAM-,3850-1,LEARN,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard
,,,,,00750,GAM-,3850-2,PLAY,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard
,,,,,00800,GAM-,3850-3,QUIZ,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard
,LIFE,Primary Level 1A,Assignment 2,010A,00850,GAM-,1100-1,LEARN,Hand Prints,Identify Left and Right hand
,,,,,00900,GAM-,1100-2,PLAY,Hand Prints,Identify Left and Right hand
,,,,,00950,GAM-,1100-3,QUIZ,Hand Prints,Identify Left and Right hand
,,,,,01000,GAM-,1770-1,LEARN,Low Middle High ,"Identify keys that are low, middle and high on the keyboard"
,,,,,01050,GAM-,1770-2,PLAY,Low Middle High ,"Identify keys that are low, middle and high on the keyboard"
