,,,,
,,,,
,USE THIS SAME GROUP DEFINITION FOR LIFE AND SOL,,,
,LIFE,Sequencxe Code,,
,SOL,Sequencxe Code,,
,,,,
,Sequence,,(Group# text),(Group# text)
,Code,Group,Level Title,Unit Title
,LIFE,004A,Introduction,How to Use Assignments
,LIFE,005A,Primary Level 1A,Assignment 1
,LIFE,010A,Primary Level 1A,Assignment 2
,LIFE,015A,Primary Level 1A,Assignment 3
,LIFE,020A,Primary Level 1A,Assignment 4
,LIFE,025A,Primary Level 1A,Assignment 5 - Skill Check
,LIFE,030A,Primary Level 1A,Assignment 6
,LIFE,035A,Primary Level 1A,Assignment 7
,LIFE,040A,Primary Level 1A,Assignment 8
,LIFE,045A,Primary Level 1A,Assignment 9
,LIFE,050A,Primary Level 1A,Assignment 10 - Skill Check
,LIFE,055A,Primary Level 1A,Assignment 11
,LIFE,060A,Primary Level 1A,Assignment 12
,LIFE,065A,Primary Level 1A,Assignment 13
,LIFE,070A,Primary Level 1A,Assignment 14
,LIFE,075A,Primary Level 1A,Assignment 15 - Skill Check
,LIFE,080A,Primary Level 1A,Assignment 16
,LIFE,085A,Primary Level 1A,Assignment 17
,LIFE,090A,Primary Level 1A,Assignment 18
,LIFE,095A,Primary Level 1A,Assignment 19
,LIFE,100A,Primary Level 1A,Assignment 20
,LIFE,105A,Level 1,Assignment 1 - Review Level Primary 1A
,LIFE,110A,Level 1,Assignment 2
,LIFE,115A,Level 1,Assignment 3
,LIFE,120A,Level 1,Assignment 4
,LIFE,125A,Level 1,Assignment 5 - Skill Check
,LIFE,130A,Level 1,Assignment 6
,LIFE,135A,Level 1,Assignment 7
,LIFE,140A,Level 1,Assignment 8
,LIFE,145A,Level 1,Assignment 9
,LIFE,150A,Level 1,Assignment 10 - Skill Check
,LIFE,155A,Level 1,Assignment 11
,LIFE,160A,Level 1,Assignment 12
,LIFE,165A,Level 1,Assignment 13
,LIFE,170A,Level 1,Assignment 14
,LIFE,175A,Level 1,Assignment 15 - Skill Check
,LIFE,180A,Level 1,Assignment 16
,LIFE,185A,Level 1,Assignment 17
,LIFE,190A,Level 1,Assignment 18
,LIFE,195A,Level 1,Assignment 19
,LIFE,200A,Level 1,Assignment 20 - Skill Check
,LIFE,205A,Level 2,Assignment 1 - Review Level 1
,LIFE,210A,Level 2,Assignment 2
,LIFE,215A,Level 2,Assignment 3
,LIFE,220A,Level 2,Assignment 4
,LIFE,225A,Level 2,Assignment 5 - Skill Check
,LIFE,230A,Level 2,Assignment 6
,LIFE,235A,Level 2,Assignment 7
,LIFE,240A,Level 2,Assignment 8
,LIFE,245A,Level 2,Assignment 9
,LIFE,250A,Level 2,Assignment 10 - Skill Check
,LIFE,255A,Level 2,Assignment 11
,LIFE,260A,Level 2,Assignment 12
,LIFE,265A,Level 2,Assignment 13
,LIFE,270A,Level 2,Assignment 14
,LIFE,275A,Level 2,Assignment 15 - Skill Check
,LIFE,280A,Level 2,Assignment 16
,LIFE,285A,Level 2,Assignment 17
,LIFE,290A,Level 2,Assignment 18
,LIFE,295A,Level 2,Assignment 19
,LIFE,300A,Level 2,Assignment 20 - Skill Check
,LIFE,305A,Level 3,Assignment 1
,LIFE,310A,Level 3,Assignment 2
,LIFE,315A,Level 3,Assignment 3
,LIFE,320A,Level 3,Assignment 4
,LIFE,325A,Level 3,Assignment 5 - Skill Check
,LIFE,330A,Level 3,Assignment 6
,LIFE,335A,Level 3,Assignment 7
,LIFE,340A,Level 3,Assignment 8
,LIFE,345A,Level 3,Assignment 9
,LIFE,350A,Level 3,Assignment 10 - Skill Check
,LIFE,355A,Level 3,Assignment 11
,LIFE,360A,Level 3,Assignment 12
,LIFE,365A,Level 3,Assignment 13
,LIFE,370A,Level 3,Assignment 14
,LIFE,375A,Level 3,Assignment 15 - Skill Check
,LIFE,380A,Level 3,Assignment 16
,LIFE,385A,Level 3,Assignment 17
,LIFE,390A,Level 3,Assignment 18
,LIFE,395A,Level 3,Assignment 19
