,,,Sequence is defined by the following:,,,,,,,,SOLFEGE GAMES,,,
,,1,Sequence,Sequence Code,,LIFE,"Retrieved text ""Lifetime Musician Curriculum""",,,,MIDI GAMES,,,
,,2,Group,Group Code,,005A,"Retrieved text -Level Title ""Primary Level 1A"" and Unit Title ""(Assignment 1""",,,,,,,
,,3,Seq Order #,Sequence Order #,,00250,,,,,,,,
,,4,Type,Element Type,,GAM,,,,,,,,
,,5,Elements #,Game (Element) #,,3720-1,"Retrieved text from game data  base- Stage ID (""LEARN""), Game Name (""Storm Chasers 1"". Description (""Aurally identify Up and Down"")",,,,,,,
,,,,,,,,Suffix identifies Stage,,,,,,
,,,4-5 is Element Identification,,,GAM-3720-1,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"ACTIVE A, X",,,,,,ALPHA LIST '!$B$6:$E$408,,,
,LIFE,,Lifetime Musician Curriculum,,,LIFE,,,,GAM,,,,
,,,,,X,"Seq
 Order
 #",,,(from game number sufix),,,,"Seq
Game",
,Sequence,,(Group# text),(Group# text),,,Element,,,(from game data base),(from game data base),,Base #,Number
Keyboard,Code,Group,Level Title,Unit Title,,,Type,#,Stage,Name,Description,,,
,LIFE,004A,Introduction,How to Use Assignments,X,00100,VID-,2005-2,INS,How to Use Sequence,How to navigate sequence assignment,,2005,2005
,LIFE,005A,Primary Level 1A,Assignment 1,A,00150,GAM-,3480-1,LEARN,Songbirds High and Low,Identify high sounds and low sounds,,3480,3480
,,,,,A,00200,GAM-,3480-2,PLAY,Songbirds High and Low,Identify high sounds and low sounds,,3480,3480
,,,,,A,00250,GAM-,3480-3,QUIZ,Songbirds High and Low,Identify high sounds and low sounds,,3480,3480
,,,,,A,00300,GAM-,3720-1,LEARN,Storm Chasers 1,Aurally identify Up and Down,,3720,3720
,,,,,A,00350,GAM-,3720-2,PLAY,Storm Chasers 1,Aurally identify Up and Down,,3720,3720
,,,,,A,00400,GAM-,3720-3,QUIZ,Storm Chasers 1,Aurally identify Up and Down,,3720,3720
,,,,,A,00450,GAM-,3370-1,LEARN,Smiley and Friends 1,Hear Tunes -- Same or different,,3370,3370
,,,,,A,00500,GAM-,3370-2,PLAY,Smiley and Friends 1,Hear Tunes -- Same or different,,3370,3370
,,,,,A,00550,GAM-,3370-3,QUIZ,Smiley and Friends 1,Hear Tunes -- Same or different,,3370,3370
,,,,,A,00600,GAM-,0750-1,LEARN,Faster-Slower-Same 1,Does the music become faster or slower? ,,0750,750
,,,,,A,00650,GAM-,0750-2,PLAY,Faster-Slower-Same 1,Does the music become faster or slower? ,,0750,750
,,,,,A,00700,GAM-,0750-3,QUIZ,Faster-Slower-Same 1,Does the music become faster or slower? ,,0750,750
K,,,,,A,00750,GAM-,3850-1,LEARN,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,3850,3850
K,,,,,A,00800,GAM-,3850-2,PLAY,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,3850,3850
K,,,,,A,00850,GAM-,3850-3,QUIZ,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,3850,3850
,LIFE,010A,Primary Level 1A,Assignment 2,A,00900,GAM-,1100-1,LEARN,Hand Prints,Identify Left and Right hand,,1100,1100
,,,,,A,00950,GAM-,1100-2,PLAY,Hand Prints,Identify Left and Right hand,,1100,1100
,,,,,A,01000,GAM-,1100-3,QUIZ,Hand Prints,Identify Left and Right hand,,1100,1100
K,,,,,A,01050,GAM-,1770-1,LEARN,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,1770,1770
K,,,,,A,01100,GAM-,1770-2,PLAY,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,1770,1770
K,,,,,A,01150,GAM-,1770-3,QUIZ,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,1770,1770
,,,,,A,01200,GAM-,0780-1,LEARN,Finger Finder,Finger Numbers for the Right and Left hands ,,0780,780
,,,,,A,01250,GAM-,0780-2,PLAY,Finger Finder,Finger Numbers for the Right and Left hands ,,0780,780
,,,,,A,01300,GAM-,0780-3,QUIZ,Finger Finder,Finger Numbers for the Right and Left hands ,,0780,780
,,,,,A,01350,GAM-,3360-1,LEARN,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,3360,3360
,,,,,A,01400,GAM-,3360-2,PLAY,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,3360,3360
,,,,,A,01450,GAM-,3360-3,QUIZ,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,3360,3360
,,,,,A,01500,GAM-,3400-2,PLAY,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,3400,3400
,,,,,A,01550,GAM-,3400-3,QUIZ,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,3400,3400
,,,,,A,01600,GAM-,3400-4,CHALLENGE,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,3400,3400
,LIFE,015A,Primary Level 1A,Assignment 3,A,01650,GAM-,3660-1,LEARN,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,3660,3660
,,,,,A,01700,GAM-,3660-2,PLAY,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,3660,3660
,,,,,A,01750,GAM-,3660-3,QUIZ,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,3660,3660
,,,,,A,01800,GAM-,2870-1,LEARN,Pick the Pattern Loud Soft,"Hear, then identify each chord in a 4-chord pattern as loud or soft.",,2870,2870
,,,,,A,01850,GAM-,2870-2,PLAY,Pick the Pattern Loud Soft,"Hear, then identify each chord in a 4-chord pattern as loud or soft.",,2870,2870
,,,,,A,01900,GAM-,2870-3,QUIZ,Pick the Pattern Loud Soft,"Hear, then identify each chord in a 4-chord pattern as loud or soft.",,2870,2870
,,,,,A,01950,GAM-,2030-1,LEARN,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,2030,2030
,,,,,A,02000,GAM-,2030-2,PLAY,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,2030,2030
,,,,,A,02050,GAM-,2030-3,QUIZ,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,2030,2030
,,,,,A,02100,GAM-,0700-1,LEARN,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,0700,700
,,,,,A,02150,GAM-,0700-2,PLAY,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,0700,700
,,,,,A,02200,GAM-,0700-3,QUIZ,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,0700,700
,,,,,A,02250,GAM-,3420-2,PLAY,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,3420,3420
,,,,,A,02300,GAM-,3420-3,QUIZ,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,3420,3420
,,,,,A,02350,GAM-,3420-4,CHALLENGE,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,3420,3420
,,,,,A,02400,GAM-,3380-1,LEARN,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,3380,3380
,,,,,A,02450,GAM-,3380-2,PLAY,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,3380,3380
,,,,,A,02500,GAM-,3380-3,QUIZ,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,3380,3380
,LIFE,020A,Primary Level 1A,Assignment 4,A,02550,GAM-,2020-1,LEARN,Meteor Match 1,"Name notes and rests - Quarter note, half note",,2020,2020
,,,,,A,02600,GAM-,2020-2,PLAY,Meteor Match 1,"Name notes and rests - Quarter note, half note",,2020,2020
,,,,,A,02650,GAM-,2020-3,QUIZ,Meteor Match 1,"Name notes and rests - Quarter note, half note",,2020,2020
,,,,,A,02700,GAM-,0080-1,LEARN,Alpha Order Up,Name missing letters in the ascending music alphabet,,0080,80
,,,,,A,02750,GAM-,0080-2,PLAY,Alpha Order Up,Name missing letters in the ascending music alphabet,,0080,80
,,,,,A,02800,GAM-,0080-3,QUIZ,Alpha Order Up,Name missing letters in the ascending music alphabet,,0080,80
,,,,,A,02850,GAM-,0070-1,LEARN,Alpha Order Down,Name missing letters in the descending music alphabet,,0070,70
,,,,,A,02900,GAM-,0070-2,PLAY,Alpha Order Down,Name missing letters in the descending music alphabet,,0070,70
,,,,,A,02950,GAM-,0070-3,QUIZ,Alpha Order Down,Name missing letters in the descending music alphabet,,0070,70
