,,,,,,,,,,,,,,,,,,
,,,,,"A-Active, X-Inactive",,,,,,,,,,,,,
,,,,,,K -Keyboard in game,,,,,,,,,,,,
,,,,,,,T,-Timed,,,,,,,,,,
,,,,,,,,S -Solfege text,,,,,,,,,,
,,E-ENGLISH,SEQUENCE POSITIONS,,,,,,M -MIDI capable,,,,,,,,,
,MusicLearningCommunity.com ,4/1/2020,LIFE,SOL,,,,,,,,,,Stages Target Scores,,,,
,Games in alphabetical order,GAME,Lifetime Musician,"Solfege
Fixed Do",x,,,,,Levels,,,Skills / Concepts Description,"- 1
Learn","- 2
Play","- 3
Quiz","- 4
Challenge","- 5
Review"
,,NUMBER,"Level . Assign #
r = review","Level . Assign #
r = review",A,K,T,S,M,1,2,3,(Text),,,,,
,,,,,,,,,,,,,,,,,,
,Alpha Order Down,GAM-0070,P.4,P.4,A,,, , ,P,,,Name missing letters in the descending music alphabet,850,1050,1100,-,-
,Alpha Order Up,GAM-0080,P.4,P.4,A,,, , ,P,,,Name missing letters in the ascending music alphabet,850,1050,1350,-,-
,Alpha Steps & Skips 1,GAM-0090,"P.9,13r","P.9,13r",A,,, , ,P,,,Name the letters of the musical alphabet that make steps up & down,1050,1350,1650,-,1650
,Alpha Steps & Skips 2,GAM-0100,P.14,P.14,A,,, , ,P,,,Name the letters of the musical alphabet that make skips up & down,1050,1350,1650,-,-
,Alpha Steps & Skips 3,GAM-0110,P.17 - 1.1,P.17 - 1.1,A,,, , ,P,1,,Name the letters of the musical alphabet that make steps and skips up & down,1050,1350,1650, - , - 
,Cannon Intervals 1,GAM-0360,"2.11,15r","2.11,15r",A,,, , ,2,,,Identify half steps and whole steps on the keyboard and the staff,1100,1450,2300,-,-
,Cannon Intervals 2,GAM-0370,"3.3,8r","3.3,8r",A,,, , ,3,,,"Identify 5ths, 6ths, 7ths & octaves on the keyboard and the staff",1850,1850,2300,-,-
,Cannon Intervals 3,GAM-0380,"4.14 - 5.4,11r","4.14 - 5.4,11r",A,,, , ,4,5,,Identify minor 2nds & Major 2nds on the keyboard and the staff,1100,1450,2300,-,-
