,,,,
,,,,
,USE THIS SAME GROUP DEFINITION FOR LIFE AND SOL,,,
,LIFE,Sequencxe Code,,
,SOL,Sequencxe Code,,
,,,,
,Sequence,,(Group# text),(Group# text)
,Code,Group,Level Title,Unit Title
,SOL,004A,Introduction,How to Use Assignments
,SOL,005A,Primary Level 1A,Assignment 1
,SOL,010A,Primary Level 1A,Assignment 2
,SOL,015A,Primary Level 1A,Assignment 3
,SOL,020A,Primary Level 1A,Assignment 4
,SOL,025A,Primary Level 1A,Assignment 5 - Skill Check
,SOL,030A,Primary Level 1A,Assignment 6
,SOL,035A,Primary Level 1A,Assignment 7
,SOL,040A,Primary Level 1A,Assignment 8
,SOL,045A,Primary Level 1A,Assignment 9
,SOL,050A,Primary Level 1A,Assignment 10 - Skill Check
,SOL,055A,Primary Level 1A,Assignment 11
,SOL,060A,Primary Level 1A,Assignment 12
,SOL,065A,Primary Level 1A,Assignment 13
,SOL,070A,Primary Level 1A,Assignment 14
,SOL,075A,Primary Level 1A,Assignment 15 - Skill Check
,SOL,080A,Primary Level 1A,Assignment 16
,SOL,085A,Primary Level 1A,Assignment 17
,SOL,090A,Primary Level 1A,Assignment 18
,SOL,095A,Primary Level 1A,Assignment 19
,SOL,100A,Primary Level 1A,Assignment 20
,SOL,105A,Level 1,Assignment 1 - Review Level Primary 1A
,SOL,110A,Level 1,Assignment 2
,SOL,115A,Level 1,Assignment 3
,SOL,120A,Level 1,Assignment 4
,SOL,125A,Level 1,Assignment 5 - Skill Check
,SOL,130A,Level 1,Assignment 6
,SOL,135A,Level 1,Assignment 7
,SOL,140A,Level 1,Assignment 8
,SOL,145A,Level 1,Assignment 9
,SOL,150A,Level 1,Assignment 10 - Skill Check
,SOL,155A,Level 1,Assignment 11
,SOL,160A,Level 1,Assignment 12
,SOL,165A,Level 1,Assignment 13
,SOL,170A,Level 1,Assignment 14
,SOL,175A,Level 1,Assignment 15 - Skill Check
,SOL,180A,Level 1,Assignment 16
,SOL,185A,Level 1,Assignment 17
,SOL,190A,Level 1,Assignment 18
,SOL,195A,Level 1,Assignment 19
,SOL,200A,Level 1,Assignment 20 - Skill Check
,SOL,205A,Level 2,Assignment 1 - Review Level 1
,SOL,210A,Level 2,Assignment 2
,SOL,215A,Level 2,Assignment 3
,SOL,220A,Level 2,Assignment 4
,SOL,225A,Level 2,Assignment 5 - Skill Check
,SOL,230A,Level 2,Assignment 6
,SOL,235A,Level 2,Assignment 7
,SOL,240A,Level 2,Assignment 8
,SOL,245A,Level 2,Assignment 9
,SOL,250A,Level 2,Assignment 10 - Skill Check
,SOL,255A,Level 2,Assignment 11
,SOL,260A,Level 2,Assignment 12
,SOL,265A,Level 2,Assignment 13
,SOL,270A,Level 2,Assignment 14
,SOL,275A,Level 2,Assignment 15 - Skill Check
,SOL,280A,Level 2,Assignment 16
,SOL,285A,Level 2,Assignment 17
,SOL,290A,Level 2,Assignment 18
,SOL,295A,Level 2,Assignment 19
,SOL,300A,Level 2,Assignment 20 - Skill Check
,SOL,305A,Level 3,Assignment 1
,SOL,310A,Level 3,Assignment 2
,SOL,315A,Level 3,Assignment 3
,SOL,320A,Level 3,Assignment 4
,SOL,325A,Level 3,Assignment 5 - Skill Check
,SOL,330A,Level 3,Assignment 6
,SOL,335A,Level 3,Assignment 7
,SOL,340A,Level 3,Assignment 8
,SOL,345A,Level 3,Assignment 9
,SOL,350A,Level 3,Assignment 10 - Skill Check
,SOL,355A,Level 3,Assignment 11
,SOL,360A,Level 3,Assignment 12
,SOL,365A,Level 3,Assignment 13
,SOL,370A,Level 3,Assignment 14
,SOL,375A,Level 3,Assignment 15 - Skill Check
,SOL,380A,Level 3,Assignment 16
,SOL,385A,Level 3,Assignment 17
,SOL,390A,Level 3,Assignment 18
,SOL,395A,Level 3,Assignment 19
,SOL,400A,Level 3,Assignment 20 - Skill Check
,SOL,405A,Level 4,Assignment 1 - Review Level Three
,SOL,410A,Level 4,Assignment 2
,SOL,415A,Level 4,Assignment 3
