,,,,,,,,,,,SOLFEGE GAMES
,,,,,"ACTIVE A, X",,,,,,MIDI GAMES
,SOL,,Solfege Curriculum,,,SOL,,,,,
,,,,,X,"Seq
 Order
 #",,,(from game number sufix),,
,Sequence,,(Group# text),(Group# text),,,Element,,,(from game data base),(from game data base)
,Code,Group,Level Title,Unit Title,,,Type,#,Stage,Name,Description
,SOL,004A,Introduction,How to Use Assignments,X,00100,VID-,2005-2,INS,How to Use Sequence,How to navigate sequence assignment
,SOL,005A,Primary Level 1A,Assignment 1,A,00150,GAM-,3480-1,LEARN,Songbirds High and Low,Identify high sounds and low sounds
,,,,,A,00200,GAM-,3480-2,PLAY,Songbirds High and Low,Identify high sounds and low sounds
,,,,,A,00250,GAM-,3480-3,QUIZ,Songbirds High and Low,Identify high sounds and low sounds
,,,,,A,00300,GAM-,3720-1,LEARN,Storm Chasers 1,Aurally identify Up and Down
,,,,,A,00350,GAM-,3720-2,PLAY,Storm Chasers 1,Aurally identify Up and Down
,,,,,A,00400,GAM-,3720-3,QUIZ,Storm Chasers 1,Aurally identify Up and Down
,,,,,A,00450,GAM-,3370-1,LEARN,Smiley and Friends 1,Hear Tunes -- Same or different
,,,,,A,00500,GAM-,3370-2,PLAY,Smiley and Friends 1,Hear Tunes -- Same or different
,,,,,A,00550,GAM-,3370-3,QUIZ,Smiley and Friends 1,Hear Tunes -- Same or different
,,,,,A,00600,GAM-,0750-1,LEARN,Faster-Slower-Same 1,Does the music become faster or slower? 
,,,,,A,00650,GAM-,0750-2,PLAY,Faster-Slower-Same 1,Does the music become faster or slower? 
,,,,,A,00700,GAM-,0750-3,QUIZ,Faster-Slower-Same 1,Does the music become faster or slower? 
,,,,,A,00750,GAM-,3850-1,LEARN,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard
,,,,,A,00800,GAM-,3850-2,PLAY,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard
,,,,,A,00850,GAM-,3850-3,QUIZ,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard
,SOL,010A,Primary Level 1A,Assignment 2,A,00900,GAM-,1100-1,LEARN,Hand Prints,Identify Left and Right hand
,,,,,A,00950,GAM-,1100-2,PLAY,Hand Prints,Identify Left and Right hand
,,,,,A,01000,GAM-,1100-3,QUIZ,Hand Prints,Identify Left and Right hand
,,,,,A,01050,GAM-,1770-1,LEARN,Low Middle High ,"Identify keys that are low, middle and high on the keyboard"
,,,,,A,01100,GAM-,1770-2,PLAY,Low Middle High ,"Identify keys that are low, middle and high on the keyboard"
,,,,,A,01150,GAM-,1770-3,QUIZ,Low Middle High ,"Identify keys that are low, middle and high on the keyboard"
,,,,,A,01200,GAM-,0780-1,LEARN,Finger Finder,Finger Numbers for the Right and Left hands 
