,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,code,group,level_title,unit_title,course_category,course_tags,active,seq_order,part_type,part_number,stage,name,description,vimeo_url,pdf
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00150,GAM-,3480-1E,LEARN,Songbirds High and Low,Identify high sounds and low sounds,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00200,GAM-,3480-2E,PLAY,Songbirds High and Low,Identify high sounds and low sounds,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00250,GAM-,3480-3E,QUIZ,Songbirds High and Low,Identify high sounds and low sounds,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00300,GAM-,3720-1E,LEARN,Storm Chasers 1,Aurally identify Up and Down,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00350,GAM-,3720-2E,PLAY,Storm Chasers 1,Aurally identify Up and Down,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00400,GAM-,3720-3E,QUIZ,Storm Chasers 1,Aurally identify Up and Down,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00450,GAM-,3370-1E,LEARN,Smiley and Friends 1,Hear Tunes -- Same or different,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00500,GAM-,3370-2E,PLAY,Smiley and Friends 1,Hear Tunes -- Same or different,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00550,GAM-,3370-3E,QUIZ,Smiley and Friends 1,Hear Tunes -- Same or different,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00600,GAM-,0750-1E,LEARN,Faster-Slower-Same 1,Does the music become faster or slower? ,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00650,GAM-,0750-2E,PLAY,Faster-Slower-Same 1,Does the music become faster or slower? ,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00700,GAM-,0750-3E,QUIZ,Faster-Slower-Same 1,Does the music become faster or slower? ,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00750,GAM-,3850-1E,LEARN,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00800,GAM-,3850-2E,PLAY,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,
,SOLF,005A,Primary Level 1A,Assignment 1,,,A,00850,GAM-,3850-3E,QUIZ,Tommy Tiger's 2's & 3's,Identify the groups of 2 and 3 black keys on the keyboard,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,00900,GAM-,1100-1E,LEARN,Hand Prints,Identify Left and Right hand,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,00950,GAM-,1100-2E,PLAY,Hand Prints,Identify Left and Right hand,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01000,GAM-,1100-3E,QUIZ,Hand Prints,Identify Left and Right hand,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01050,GAM-,1770-1E,LEARN,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01100,GAM-,1770-2E,PLAY,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01150,GAM-,1770-3E,QUIZ,Low Middle High ,"Identify keys that are low, middle and high on the keyboard",,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01200,GAM-,0780-1E,LEARN,Finger Finder,Finger Numbers for the Right and Left hands ,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01250,GAM-,0780-2E,PLAY,Finger Finder,Finger Numbers for the Right and Left hands ,,
,SOLF,010A,Primary Level 1A,Assignment 2,,,A,01300,GAM-,0780-3E,QUIZ,Finger Finder,Finger Numbers for the Right and Left hands ,,
