,,,,,,,,SCREENS ORGANIZATION,,,,,
,100,MEMBER DASHBOARD,,,,,,,,,,,
,,,110,Manage Member Credentials,,,,,,,,,
,,,120,Member Information Update,,,,,,,,,
,,,130,Manage Teachers and Student Users,,,,,,,,,
,,,140,System Usage Tutorials,,,,,,,,,
,,,150,Score Reporting (Multiople Teachers),,,,,,,,,
,,,160,Upload Utility,,,,,,,,,
,,,,,,,,,,,,,
,200,TEACHER RESOURCE CENTER (DASHBOARD),,,,,,,,,,,
,,,210,Manage Teacher Credentials,,,,,,,,,
,,,220,Student Management Screen,,,,,,,,,
,,,240,Teaching Aides,,,,,,,,,
,,,250,Score Reporting (Single Teacher),,,,,,,,,
,,,260,Reports (View and Print),,,,,,,,,
,,,,,261,Report-Game Alpha Master Listing,,,,,,,
,,,,,262,Report-View Games by Level and Category,,,,,,,
,,,,,264,Report-View Lifetime Musician Curriculum,,,,,,,
,,,,,266,Report-View Popular Method Sequences,,,,,,,
,,,,,268,Report-View State Achievment Programs,,,,,,,
,,,,,,,,,,,,,
,300,STUDENT RESOURCE CENTER (DASHBOARD),,,,,,,,,,,
,,,310,Manage Student Password,,,,,,,,,
,,,320,Game Assignment Screen,,,,,,,,,
,,,330,Play Other Games,,,,,,,,,
,,,,,332,Game Sequences (View and Play),,,,,,,
,,,,,,,334,Individual Games by Level and Category (View and Play),,,,,
,,,340,How to Use MusicLearningCommunity,,,,,,,,,
,,,350,Score Reporting (Single Student),,,,,,,,,
,,,360,Student Awards,,,,,,,,,
,,,,,,,,,,,,,
,400,SITE ADMINISTRATOR DASHBOARD,,,,,,,,,,,
,,,110,Manage Member Credentials,,,,,,,,,
,,,120,Member Information Update,,,,,,,,,
,,,130,Manage Teachers and Student Users,,,,,,,,,Member Maintenance
,,,140,System Usage Tutorials,,,,,,,,,
,,,150,Score Reporting (Multiople Teachers),,,,,,,,,
,,,160,Upload Utility,,,,,,,,,
,,,230,Student Management Screen,,,,,,,,,
,,,405,Member Data Screen,,,,,,,,,
,,,410,Sponsor Code View and Assignment,,,,,,,,,
,,,420,Communications,,,,,,,,,
,,,430,Subscription Maintenance  (Link to Braintree),,,,,,,,,
,,,440,Content Library,,,,,,,,,
,,,450,Report Generator,,,,,,,,,
,,,452,"Tests (scorekeeping, e-mail)",,,,,,,,,
,,,460,Learning Element Maintenance,,,,,,,,,
,,,,,461,View/Update Non-Game Element,,,,,,,
,,,470,Named Sequence Maintenance,,,,,,,,,
,,,,,471,Named Sequence Definition,,,,,,,
,,,,,472,Named Sequence ,,,,,,,
,,,,,473,Sequence Report,,,,,,,
,,,480,Promotion Codes,,,,,,,,,
,500,,,,,,,,,,,,
,,,510,Membership Subscription Plans,,,,,,,,,
,,,520,Users Permissions Table,,,,,,,,,
,,,530,Learning Element and Sequence Coding,,,,,,,,,
,,,535,Leaerning Element Table,,,,,,,,,
,,,561,Trials Report,,,,,,,,,
,,,562,Scorekeeping Test,,,,,,,,,
,,,563,E-mail Test,,,,,,,,,
,,,564,Management Reports,,,,,,,,,
