,,,,,,MusicLearningCommunity.com,,,,,,,,,,,,,
,,,,,510, Membership Subscription Plans,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Feature:,,,,,,,SOLO,,ENSEMBLE,,,,TO SUBSCRIBE FIRST SELECT THE ,,,,,
,Number of Teachers,,,,,,,1,,Unlimited,,,,NUMBER OF STUDENTS BELOW:,,,,,
,Base Number of Students,,,,,,,5,,20,,,,THEN PRESS SUBSCRIBE BUTTON TO ,,,,,
,Limit to number of students,,,,,,,19,,Unlimited,,,,ENTER YOUR MEMBERSHIP AND PAYMENT,,,,,
,Full access to all learning games,,,,,,,X,,X,,,,INFORMATION,,,,,
,Permanent community communication,,,,,,,X,,X,,,,,,,,,
,Sponsor code to Christine Hermanson Grants,,,,,,,,,X,,,,Number of students,,,,,
,Student User Upload Utility,,,,,,,,,X,,,,,,,,,
,Recommended Users,,,,,,,SOLO,,ENSEMBLE,,,,,,,Monthly,,Annual
,Homeschool Students,,,,,,5,X,,,,,,Calculated Price,,,,,
,Adult music students,,,,,,5,X,,,,,,,,,,,
,Private music teachers,,,,(#students),,,(5-19),,(20+),,,,If you have a Christine Hermanson Grant,,,,,
,School General Music Classes,,,,,,5,G,,X,,,,sponsor code for a free 5-student subscription,,,,,
,Band and Choral Programs,,,,,,5,G,,X,,,,enter it here:,,,,,
,University Pedagogy Programs,,,,,,5,G,,X,,,,,,,,,
,Private music teachers w/ collegues,,,,,,,,,X,,,,,,,,,
,Music teacher groups  pooling resources,,,,,,,,,X,,,,,,SUBSCRIBE,,,
,Schools utilizing quantitative assessment,,,,,,,,,X,,,,,,,,,
,,(G) Qualifies for Christine Hermanson Grant,,,,,,,,,,,,,,,,,
,Pricing,,,,,,,SOLO,,ENSEMBLE,,,SOLO,,ENSEMBLE,,,,
,,,,,,,,Monthly,,,,,Annual,,,,,,
,Recurring Credit Card  **,,,,+,,,,,,,,,,,,,,
,,Base Price per period,,,,,,$7.95 ,,$19.95 ,,,$95.40,,$239.40,,,,
,,Price  for each additional student,,,,,,$0.80 ,,$0.20 ,,,$9.60,,$2.40,,,,
,,,Examples:,, 5 students,,,$7.95 ,,,,,$95.40,,,,,,
,,,,,10 students,,,$11.95 ,,,,,$143.40,,$239.40 ,,,,
,,,,,20 students,,,,,$19.95 ,,,,,,,,,
,,,,,25 students,,,,,$20.95 ,,,,,$251.40 ,,,,
,,,,,50 students,,,,,$25.95 ,,,,,$311.40,,,,
,,,,,100 students,,,,,$35.95 ,,,,,$455.40,,,,
,,,,,200 students,,,,,$55.95 ,,,,,$671.40,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,** Monthly subscribers can suspend and re-start their membership without losing any data,,,,,,,,,,,,,,
,,,,,** Monthly subscribers can add or decrease numbers of students--monthly charge will update.,,,,,,,,,,,,,,
,,,,,+  Annual subscribers may pay by check and use a purchase order,,,,,,,,,,,,,,
