,,,,,,,,,,,,,,,,,,,,
,,,,STUDENT GAME ASSIGNMENT SCREEN,,,,,,,,,,,,,,,,
,,,,(Assignment Group),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Assignment Group ID,,,,ASSIGNMENT:,,,,,,,,,,,,,,,,
,,,(Sequence Name),Alfred Premier,,,,Group Number,,,,,Recess Level,,,,,,,
,,,(Level Field),Level 1A,,,,,3.00,,,,0,,,,,,, 
,,,(Unit Field),,,,,,,,,,,,,,,,Note that Alfred has no Unit,
,,,(Notation Field),Pages 5-11,,,,,,,,,,,,,,,,
,,,,Do this first:,,,,,,Completed,,,,,,,,,This appears first and must be,
Pre-Assignment Pane,,,,(Text introduction),,,,,,,P,,,,,,,,completed before other panes can be,
,,,,(Video Clip #5),,,,,,,P,,,,,,,,entered.,
,,,,Play the following games until all scores are green,,,,,,"Target
Score",,"Times
Played",Best Score,,Last Score,,,,,
Main Assignment Pane,,,Identify the groups of 2 and 3 black keys,Tommy Tigers Two's and Three's,,,Learn,,,45,P,5,50,6/4/2012,48,6/4/2012,,,"This corresponds to a ""lesson"" within the",
,,,,Tommy Tigers Two's and Three's,,,Play,,,,,,,,,,,,"assignment, pulling the concept description",
,,,,Tommy Tigers Two's and Three's,,,Quiz,,,,,,,,,,,,from the first game (Learn),
,,,,,,,,,,,,,,,,,,,,
{Main Sub-Pane},,,"Identifying keys that are low, middle, and high on the keyboard","Low, Middle, High",,,Learn,,,80,,7,79,6/4/2012,79,6/4/2012,,,"Next ""lesson"" in the assignment",
,,,,"Low, Middle, High",,,Play,,,,,,,,,,,,,
,,,,"Low, Middle, High",,,Quiz,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,{Concept,Storm Chasers 1,,,Learn,,,65,,4,58,6/4/2012,50,6/4/2012,,,,
,,,,Storm Chasers 1,,,Play,,,,,,,,,,,,,
,,,,Storm Chasers 1,,,Quiz,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,{Concept,Smiley & Friends 1,,,Learn,,,,,,,,,,,,This shows an example--if the MIDI games,
,,,,Smiley & Friends 1,,,Play,,,60,,2,55,6/5/2012,52,6/6/2012,,,"that match these are enabled, then these",
,,,,Smiley & Friends 1,,,Quiz,,,,,,,,,,,,games would be hidden or grayed.,
,,,,,,,,,,,,,,,,,,,,
,,,{Concept,Handprints,,,Learn,,,,,,,,,,,,,
,,,,Handprints,,,Play,,,,,,,,,,,,,
,,,,Handprints,,,Quiz,,,30,,,,,,,,,,
,,,,These games require a MIDI keyboard attached,,,,,,,,,,,,,,,This pane appears only if there are MIDI games.,
{MIDI sub-pane},,,{Concept,Smiley & Friends 1,,MIDI,Learn,,,,,,,,,,,,Note that there is a non-MIDI equivalent above,
,,,,Smiley & Friends 1,,MIDI,Play,,,60,,2,55,6/5/2012,52,6/6/2012,,,that would be hidden if MIDI games are present,
,,,,Smiley & Friends 1,,MIDI,Quiz,,,,,,,,,,,,here.,
,,,,,,,,,,,,,,,,,,,,
Custom Assignment,,,{Concept,,,,,,,,,,,,,,,,These are any additional games specified by the,
,,,,Finger Finder,,,Play,,,40,,2,30,6/5/2012,28,6/6/2012,,,teacher--usually repeating Learn games for more,
{Custom Sub-Pane},,,,,,,,,,,,,,,,,,,drill on a concept.,
,,,,Do the following to complete your assignment:,,,,,,Completed,,,,,,,,,This pane appears only when all the above have,
Post-Assignment Pane,,,,Storm Chasers 1,,,Challenge,,,,,48,,,280,6/6/2012,,,been completed.,
,,,,(Video Clip #6),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Achieved Perfect Score,,,,,,,,,,,,,,
,,,,,,Achieved Target Score,,,(Completed),,,,100% of target score,,,,,,,
,,,{Concept,,,Almost Achieved Target Score,,,,,,,90% of target score,,,,,,,
,,,Description},,,Played but Low Score,,,,,,,<90% of target,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Scores above are samples--every game would have scores.,,,,,,,,,,
,,,pulled from the game,,,Students need to be able to readily see how they are doing by seeing,,,,,,,,,,,,,,
,,,definition of the Learn,,,"scores, not just whether they have completed assignment.",,,,,,,,,,,,,,
,,,Stage game.,,,,,,,,,,,,,,,,,
,,,,,,Teachers need to be able to view results of students work by seeing,,,,,,,,,,,,,,
,,,,,,how much of an assignment has been done and what the quantitative,,,,,,,,,,,,,,
,,,,,,results are.,,,,,,,,,,,,,,
