,,ComePlayMusic.com Pricing Schedule,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Subscription,"Pmt
Frequency",Price,Student User Names,,,Cost Per,,,,,,,,,
,,,,Included,Each Add'l,Block,Student,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,Monthly,,,,,,,,,
,Family*,Monthly,$7.95,5,NA,,$1.59,,$1.590,$95.40,$1.590,$19.08,,,,
,,Annual,$79.95,5,NA,,$1.33,,$15.990,$79.95,$1.33,$15.99,,,,
,,,,,,,,,,,,,,,,
,Small Studio,Monthly,$11.95,10,NA,,$1.20,,$1.195,$143.40,$1.195,$14.34,,,,
,,,,,,,,,,,,,,,,
,Regular Studio,Monthly,$19.95,50,$4.00,10,$0.40,,$0.399,$239.40,$0.399,$4.79,$239.40,4.9875,12,59.85
,,Annual,$219.45,50,$47.50,10,$0.37,,$4.389,$219.45,$0.37,$4.39,219.45,4.571875,12,54.8625
,,,,,,,,,,,,,,,,
,MIDI**,Monthly,$2.50,,,,,,,,,,$19.95,,,
,  Add-on,Annual,$30.00,,NA,,,,George gets $30,,,,,0.08333333333,,
,,,,,,,,,,,,,,,,
,,,,,,,Annually,,,,,,,,,
,School,Annual,$240.00,50,NA,,$4.80,,$4.800,$240.00,$0.40,$0.40,,,25%,Monthly
,,Annual,$315.00,100,$78.75,25,$3.15,,$3.150,$315.00,$0.26,$0.26,$3.15,,,
,,Annual,$400.00,200,$50.00,25,$2.00,,$2.000,$400.00,$0.17,$0.17,$2.00,,17,
,,Annual,$540.00,300,$45.00,25,$1.80,,$1.800,$540.00,$0.15,$0.15,$1.80,,,
,,Annual,$680.00,400,$42.50,25,$1.70,,$1.700,$680.00,$0.14,$0.14,$1.70,,,
,,Annual,$825.00,500,$41.25,25,$1.65,,$1.650,$825.00,$0.14,$0.14,$1.65,,,
,,Annual,$900.00,600,$37.50,25,$1.50,,$1.500,$900.00,$0.13,$0.13,$1.50,,,
,,Annual,$980.00,700,$35.00,25,$1.40,,$1.400,$980.00,$0.12,$0.12,$1.40,,,
,,Annual,"$1,080.00",800,$33.75,25,$1.35,,$1.350,"$1,080.00",$0.11,$0.11,$1.35,,,
,,Annual,"$1,170.00",900,$32.50,25,$1.30,,$1.300,"$1,170.00",$0.11,$0.11,$1.30,,,
,,Annual,"$1,200.00",1000,$30.00,25,$1.20,,$1.200,"$1,200.00",$0.10,$0.10,$1.20,,270000,
,,,,,,,,,,,,,,,,
,School District,Annual,"$1,350.00",1350,$50.00,50,$1.00,,$1.000,"$1,350.00",$0.08,$0.08,,,,
,,,,,,,,,,,,,,,,
,  * Lifetime Musician Curriculum only,,,,,,,,,,,,,,,
,  ** Add-on to any membership (each school has individual membership),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,Declining,,,,,,,
,Student Slots,,,,Cost,,Per Slot,,Price,,,,,,,
,,,,,,,,,,,,,,,,
,50,,,,$240.00,,4.800,,4.800,240.00,,,,,,
,100,,$75 ,,$315.00,,3.150,,4.445,444.45,0.3555,,,,,
,150,,,,$390.00,,2.600,,4.089,613.35,,,1.2,,,
,200,,,,$400.00,,2.000,,3.734,746.70,,,,,,
,250,,$70 ,,$470.00,,1.880,,3.378,844.50,,,,,,
,300,,,,$540.00,,1.800,,3.023,906.75,,,,,,
,350,,,,$610.00,,1.743,,2.667,933.45,,,,,,
,400,,,,$680.00,,1.700,,2.312,924.60,,,,,,
,450,,,,$750.00,,1.667,,1.956,880.20,,,,,,
,500,,,,$825.00,,1.650,,1.601,800.25,,,,,,
,550,,$40 ,,$865.00,,1.573,,1.561,858.27,0.04,,,,,
,600,,,,$900.00,,1.500,,1.521,912.30,,,,,,
,650,,,,$940.00,,1.446,,1.481,962.32,,,,,,
,700,,,,$980.00,,1.400,,1.441,"1,008.35",,,,,,
,750,,,,"$1,020.00",,1.360,,1.401,"1,050.38",,,,,,
,800,,,,"$1,080.00",,1.350,,1.361,"1,088.40",,,,,,
,850,,,,"$1,120.00",,1.318,,1.321,"1,122.43",,,,,,
,900,,,,"$1,170.00",,1.300,,1.281,"1,152.45",,,,,,
,950,,,,"$1,210.00",,1.274,,1.241,"1,178.48",,,,,,
,1000,,,,"$1,200.00",,1.200,,1.201,"1,200.50",,,,,,
,1050,,$20 ,,"$1,220.00",,1.162,,,,,,,,,
,1100,,,,"$1,240.00",,1.127,,,,,,,,,
,1150,,,,"$1,260.00",,1.096,,,,,,,,,
,1200,,,,"$1,280.00",,1.067,,,,,,,,,
,1250,,,,"$1,300.00",,1.040,,,,,,,,,
,1300,,,,"$1,320.00",,1.015,,,,,,,,,
,1350,,,,"$1,340.00",,0.993,,,,,,,,,
,1400,,,,"$1,360.00",,0.971,,,,,,,,,
,1450,,,,"$1,380.00",,0.952,,,,,,,,,
,1500,,,,"$1,400.00",,0.933,,,,,,,,,
,1550,,,,"$1,420.00",,0.916,,,,,,,,,
,1600,,,,"$1,440.00",,0.900,,District Price,,,,,,,
,1650,,,,"$1,460.00",,0.885,,,,,,,,,
,1700,,,,"$1,480.00",,0.871,,,,,,,,,
,1750,,,,"$1,500.00",,0.857,,,,,,,,,
,1800,,,,"$1,520.00",,0.844,,,,,,,,,
,1850,,,,"$1,540.00",,0.832,,,,,,,,,
,1900,,,,"$1,560.00",,0.821,,,,,,,,,
,1950,,,,"$1,580.00",,0.810,,,,,,,,,
,2000,,,,"$1,600.00",,0.800,,,,,,,,,
,2050,,,,"$1,620.00",,0.790,,,,,,,,,
,2100,,,,"$1,640.00",,0.781,,,,,,,,,
,2150,,,,"$1,660.00",,0.772,,,,,,,,,
